team,result,points,comb_id,position
TEN,W,72,1,4
GIR,W,70,1,5
LPA,W,70,1,6
OVI,W,68,1,7
TEN,W,72,2,4
GIR,W,70,2,5
LPA,W,70,2,6
OVI,T,66,2,7
TEN,W,72,3,4
GIR,W,70,3,5
LPA,W,70,3,6
OVI,L,65,3,7
TEN,W,72,4,4
GIR,W,70,4,5
LPA,T,68,4,6
OVI,W,68,4,7
TEN,W,72,5,4
GIR,W,70,5,5
LPA,T,68,5,6
OVI,T,66,5,7
TEN,W,72,6,4
GIR,W,70,6,5
LPA,T,68,6,6
OVI,L,65,6,7
TEN,W,72,7,4
GIR,W,70,7,5
OVI,W,68,7,6
LPA,L,67,7,7
TEN,W,72,8,4
GIR,W,70,8,5
LPA,L,67,8,6
OVI,T,66,8,7
TEN,W,72,9,4
GIR,W,70,9,5
LPA,L,67,9,6
OVI,L,65,9,7
TEN,W,72,10,4
LPA,W,70,10,5
GIR,T,68,10,6
OVI,W,68,10,7
TEN,W,72,11,4
LPA,W,70,11,5
GIR,T,68,11,6
OVI,T,66,11,7
TEN,W,72,12,4
LPA,W,70,12,5
GIR,T,68,12,6
OVI,L,65,12,7
TEN,W,72,13,4
GIR,T,68,13,5
LPA,T,68,13,6
OVI,W,68,13,7
TEN,W,72,14,4
GIR,T,68,14,5
LPA,T,68,14,6
OVI,T,66,14,7
TEN,W,72,15,4
GIR,T,68,15,5
LPA,T,68,15,6
OVI,L,65,15,7
TEN,W,72,16,4
GIR,T,68,16,5
OVI,W,68,16,6
LPA,L,67,16,7
TEN,W,72,17,4
GIR,T,68,17,5
LPA,L,67,17,6
OVI,T,66,17,7
TEN,W,72,18,4
GIR,T,68,18,5
LPA,L,67,18,6
OVI,L,65,18,7
TEN,W,72,19,4
LPA,W,70,19,5
OVI,W,68,19,6
GIR,L,67,19,7
TEN,W,72,20,4
LPA,W,70,20,5
GIR,L,67,20,6
OVI,T,66,20,7
TEN,W,72,21,4
LPA,W,70,21,5
GIR,L,67,21,6
OVI,L,65,21,7
TEN,W,72,22,4
LPA,T,68,22,5
OVI,W,68,22,6
GIR,L,67,22,7
TEN,W,72,23,4
LPA,T,68,23,5
GIR,L,67,23,6
OVI,T,66,23,7
TEN,W,72,24,4
LPA,T,68,24,5
GIR,L,67,24,6
OVI,L,65,24,7
TEN,W,72,25,4
OVI,W,68,25,5
GIR,L,67,25,6
LPA,L,67,25,7
TEN,W,72,26,4
GIR,L,67,26,5
LPA,L,67,26,6
OVI,T,66,26,7
TEN,W,72,27,4
GIR,L,67,27,5
LPA,L,67,27,6
OVI,L,65,27,7
LPA,W,70,28,4
TEN,T,70,28,5
GIR,W,70,28,6
OVI,W,68,28,7
LPA,W,70,29,4
TEN,T,70,29,5
GIR,W,70,29,6
OVI,T,66,29,7
LPA,W,70,30,4
TEN,T,70,30,5
GIR,W,70,30,6
OVI,L,65,30,7
TEN,T,70,31,4
GIR,W,70,31,5
LPA,T,68,31,6
OVI,W,68,31,7
TEN,T,70,32,4
GIR,W,70,32,5
LPA,T,68,32,6
OVI,T,66,32,7
TEN,T,70,33,4
GIR,W,70,33,5
LPA,T,68,33,6
OVI,L,65,33,7
TEN,T,70,34,4
GIR,W,70,34,5
OVI,W,68,34,6
